Source, Target
1146555342286938122  , 1122340354332741632  
963065672  , 1225764636  
963065672  , 64285786  
865884586059980801  , 946541069457539072  
1146555342286938122  , 699424729338376192  
963065672  , 916047162735079425  
1146555342286938122  , 756489596192509952  
1343398638  , 1040724170953252864  
865884586059980801  , 841211030562725890  
1146555342286938122  , 1077927714785513472  
1146555342286938122  , 1086370253968474112  
1146555342286938122  , 1109736942172811264  
153011175  , 1138090777932902401  
1160612024566652933  , 936470025912946688  
1146555342286938122  , 1183433501506506754  
1146555342286938122  , 874276196791443457  
1146555342286938122  , 2997139195  
1146555342286938122  , 1065999382343008256  
1146555342286938122  , 2296350137  
1146555342286938122  , 1025863839072436224  
1191559496147095557  , 1138090777932902401  
1146555342286938122  , 194429678  
1109189371431997441  , 1040724170953252864  
1146555342286938122  , 1037560707913412609  
963065672  , 953041659138228224  
419997901  , 1040724170953252864  
1006198505470349312  , 503836749  
2988409440  , 141437341  
904200430212837377  , 1040724170953252864  
1146555342286938122  , 1128134859979837441  
1062714519552778241  , 154491213  
963065672  , 1248155002729836544  
1146555342286938122  , 818917797199839233  
1160612024566652933  , 396803909  
537652294  , 818917797199839233  
1241224214859956229  , 1033570869472370689  
2988409440  , 797985709277614080  
1052661476807172096  , 2712793437  
806736239319654403  , 1138090777932902401  
1006198505470349312  , 859084473379454979  
881212879361519616  , 970669429376929792  
3931242563  , 310313976  
963065672  , 1172909239238569990  
3931242563  , 1127189576328417280  
1146555342286938122  , 914106607641825280  
963065672  , 1197362131391467521  
2988409440  , 836951644948549634  
20119578  , 1173450389452050433  
1146555342286938122  , 1070727373417369600  
1146555342286938122  , 4627152734  
1146555342286938122  , 1035633294514315265  
3931242563  , 310313976  
1146555342286938122  , 1119711862919180289  
1146555342286938122  , 1182475540734701568  
1146555342286938122  , 1204205339794722816  
1146555342286938122  , 836951644948549634  
1146555342286938122  , 925195314155339776  
963065672  , 817881284638744576  
1146555342286938122  , 973512242783191042  
1146555342286938122  , 622212098  
1160612024566652933  , 1173450389452050433  
881212879361519616  , 826723554767011840  
963065672  , 2988409440  
3783816134  , 2997958590  
919413370050285568  , 435345171  
1062714519552778241  , 1116542740458696704  
1146555342286938122  , 1237086360378408960  
858632053092429826  , 3130003620  
1220911602423291905  , 3389558343  
1146555342286938122  , 1954977612  
759473174866169856  , 930641468259102720  
3931242563  , 435345171  
1146555342286938122  , 102380007  
1146555342286938122  , 1139724281405775872  
858632053092429826  , 991342969734262785  
3931242563  , 1183827400175443968  
859850837723680768  , 1209469461926944776  
993244997418962945  , 1080479553389244417  
173839178  , 1118925948504739842  
3783816134  , 3389558343  
1027681808492756998  , 1133091782911254528  
1146555342286938122  , 435345171  
1146555342286938122  , 174422073  
1146555342286938122  , 996111360512606208  
3291285477  , 2997958590  
738087901100048385  , 1122340354332741632  
968204266874785792  , 1159165349381586944  
2988409440  , 1030605187482759168  
1027681808492756998  , 1248155002729836544  
1033239561487319040  , 1269080890631696386  
1155122855673323520  , 858632053092429826  
1146555342286938122  , 764395975846662145  
1027681808492756998  , 3389558343  
905117948381192193  , 435345171  
995799734957862915  , 2642763882  
807055749717204992  , 1159165349381586944  
1146555342286938122  , 1097242820899991554  
1027681808492756998  , 218946372  
1160612024566652933  , 1601424433  
4770162796  , 1122340354332741632  
1269252393071329281  , 1159165349381586944  
1146555342286938122  , 1141054082943201281  
958860911611068416  , 3389558343  
919413370050285568  , 2634332538  
1146555342286938122  , 1167905865170661376  
1146555342286938122  , 936166071546949632  
957078852320215041  , 435345171  
1146555342286938122  , 972489208488067072  
47592899  , 2642763882  
919413370050285568  , 1162938196327407618  
1146555342286938122  , 148701614  
921142891262631936  , 3389558343  
4770162796  , 1040425140738154496  
3931242563  , 959162859383959552  
1203369522092097541  , 435345171  
173839178  , 1189676662784503811  
4770162796  , 2642763882  
3931242563  , 746783980708499458  
1155122855673323520  , 1178910455168790528  
1160612024566652933  , 916726351729639424  
921142891262631936  , 1230817335755210752  
1146555342286938122  , 905117948381192193  
858632053092429826  , 759473174866169856  
881212879361519616  , 701132381282037761  
47592899  , 1040425140738154496  
1155122855673323520  , 951268082135326721  
1146555342286938122  , 1014788731918692352  
858632053092429826  , 1006175375343251458  
1220911602423291905  , 1133091782911254528  
1146555342286938122  , 3019822481  
860085011214512128  , 3293541074  
1006198505470349312  , 3389558343  
981943946288025600  , 2642763882  
1220911602423291905  , 817881284638744576  
1155122855673323520  , 991342969734262785  
3196798074  , 1032988400050167808  
986850524346503168  , 168893826  
1027681808492756998  , 1159165349381586944  
1146555342286938122  , 64285786  
1146555342286938122  , 1012122882363744256  
1146555342286938122  , 2573045382  
1155714232903770112  , 1102803354588049408  
1160612024566652933  , 1135549765209509891  
1027681808492756998  , 897570705646264324  
985991065168764930  , 3389558343  
3931242563  , 842279799531929604  
738087901100048385  , 2642763882  
1043280972525973504  , 1856216737  
1146555342286938122  , 1258450392628768769  
1160612024566652933  , 3302494359  
3931242563  , 842279799531929604  
1027681808492756998  , 759473174866169856  
