source,target
1000388114727124994,1207299846345916400
1000388114727124994,1365631550
1000388114727124994,1286209593962451000
1000388114727124994,727402656285777900
1000388114727124994,3725385020
1000388114727124994,1311269833913163800
1000388114727124994,1267779073805336600
1000388114727124994,1117995896707240000
1000388114727124994,1295179302728736800
1000388114727124994,1306050727521919000
1000388114727124994,849310245931409400
1000388114727124994,1287325943653171200
1000388114727124994,1304887546619605000
1000388114727124994,1278884214193090600
1000388114727124994,1269139695381835800
1000388114727124994,1127539744135626800
1000388114727124994,2345339341
1000388114727124994,185578523
1000388114727124994,1293885091987546000
1000388114727124994,1304916461669015600
1000388114727124994,1293494384416063500
1000388114727124994,1156883878553931800
1000388114727124994,1310850824789086200
1000388114727124994,866256313885405200
1000388114727124994,1233257041113710600
1000388114727124994,1267146469208809500
1000388114727124994,1258245385761386500
1000388114727124994,1310050946634768400
1000388114727124994,1185137684827857000
1000388114727124994,1305499950210379800
1000388114727124994,1285232874522923000
1000388114727124994,1293826122317103000
1000388114727124994,791665989947568100
1000388114727124994,1294261867221667800
1000388114727124994,1177727529785991200
1000388114727124994,1267820952240316400
1000388114727124994,4220143814
1000388114727124994,1305845964012318700
1000388114727124994,1262720864950370300
1000388114727124994,1046341034781814800
1000388114727124994,290264608
1000388114727124994,114198812
1000388114727124994,1170682450831392800
1000388114727124994,1298176375053062100
1000388114727124994,1308623986142527500
1000388114727124994,1260983645214392300
1000388114727124994,1304428171111006200
1000388114727124994,1299942319546749000
1000388114727124994,1308698662936227800
1000388114727124994,1168534201471123500
1000388114727124994,1272891989013549000
1000388114727124994,1308824407947710500
1000388114727124994,1050689941896814600
1000388114727124994,1135753285413949400
1000388114727124994,1232700165191979000
1000388114727124994,1267492178063835100
1000388114727124994,1264022462611800000
1000388114727124994,1307742402640138200
1000388114727124994,1240887224486350800
1000388114727124994,1294831669413703700
1000388114727124994,1307040402785161200
1000388114727124994,1235426880590762000
1000388114727124994,1154698693490217000
1000388114727124994,1216142321948844000
1000388114727124994,1292407655567200300
1000388114727124994,1251076011820605400
1000388114727124994,1252125932434808800
1000388114727124994,1259839441503309800
1000388114727124994,953384526507475000
1000388114727124994,1292458107117817900
1000388114727124994,1272001635003269000
1000388114727124994,1303319642585223200
1000388114727124994,1306495899301015600
1000388114727124994,1302134549963448300
1000388114727124994,1262340979568320500
1000388114727124994,1013082287238312000
1000388114727124994,1281393308196110300
1000388114727124994,1280072137110425600
1000388114727124994,1252985774875672600
1000388114727124994,1243127688811995100
1000388114727124994,923442628879835100
1000388114727124994,1083581342183575600
1000388114727124994,1251851280580071400
1000388114727124994,1291230362534740000
1000388114727124994,830115746717986800
1000388114727124994,1243806265924444200
1000388114727124994,863429640798392300
1000388114727124994,4548400403
1000388114727124994,1400606083
1000388114727124994,1276149639402659800
1000388114727124994,1285896723433431000
1000388114727124994,1164580232298451000
1000388114727124994,1305399247232090000
1000388114727124994,1304613126474592300
1000388114727124994,1056950447242702800
1000388114727124994,1046734091830231000
1000388114727124994,1206839575143829500
1000388114727124994,953610217085784000
1000388114727124994,1089019050028687400
1000388114727124994,990087701457195000
1000388114727124994,66852947
1000388114727124994,2953449615
1000388114727124994,1280920073486643200
1000388114727124994,1294031796884185000
1000388114727124994,3098015292
1000388114727124994,1237617370098614300
1000388114727124994,1299172052386173000
1000388114727124994,1247302598169956400
1000388114727124994,996931742496837600
1000388114727124994,1290196610207461400
1000388114727124994,1268847352481267700
1000388114727124994,1303421076408602600
1000388114727124994,992339997263986700
1000388114727124994,1122490849130995700
1000388114727124994,1112042232050143200
1000388114727124994,1242828931574579200
1000388114727124994,2871244059
1000388114727124994,334840823
1000388114727124994,1293461474833137700
1000388114727124994,767651345767759900
1000388114727124994,1205775914518241300
1000388114727124994,1292935751395692500
1000388114727124994,1294611705494814700
1000388114727124994,980300273166909400
1000388114727124994,1120259689839829000
1000388114727124994,1258406877571866600
1000388114727124994,909936777070305300
1000388114727124994,1251437973297561600
1000388114727124994,1293063873176666000
1000388114727124994,1203257858294337500
1000388114727124994,1265099518275551200
1000388114727124994,1264075647200026600
1000388114727124994,1043485318492520400
1000388114727124994,1023924010021740500
1000388114727124994,1152934614110859300
1000388114727124994,1145472396121509900
1000388114727124994,1258871398484844500
1000388114727124994,1243837278113288200
1000388114727124994,1275142320627695600
1000388114727124994,1091997474967953400
1000388114727124994,1668770089
1000388114727124994,1194274972144791600
1000388114727124994,1140710608167407600
1000388114727124994,978143395649503200
1000388114727124994,1022538916791050200
1000388114727124994,1261791157404741600
1000388114727124994,1215073162108506000
1000388114727124994,1225728579964567600
1000388114727124994,1298524406663114800
1000388114727124994,1298477323822366700
1000388114727124994,1297417829445247000
1000388114727124994,1199478538669187000
1000388114727124994,1395920809
1000388114727124994,1290397423681110000
1000388114727124994,2519587022
1000388114727124994,1217992852161974300
1000388114727124994,1296938378248753200
1000388114727124994,1250622070410457000
1000388114727124994,1296638138639503400
1000388114727124994,1215904413631430700
1000388114727124994,1297390437653573600
1000388114727124994,1293093402242883600
1000388114727124994,1294898150025519000
1000388114727124994,4881642543
1000388114727124994,1295963193311809500
1000388114727124994,1277170023317020700
1000388114727124994,951993386080219100
1000388114727124994,1281485316331917300
1000388114727124994,1279332526037721000
1000388114727124994,1236625307563483100
1000388114727124994,858074043647500300
1000388114727124994,1084482826207141900
1000388114727124994,1282901626706002000
1000388114727124994,877590048614436900
1000388114727124994,1273433469243150300
1000388114727124994,1269072102046314500
1000388114727124994,3315656671
1000388114727124994,1198578217856065500
1000388114727124994,1077577941863739400
1000388114727124994,2823472958
1000388114727124994,1289252663792631800
1000388114727124994,747981378571145200
1000388114727124994,1288446227864932400
1000388114727124994,1283460906106536000
1000388114727124994,1286244551720497200
1000388114727124994,82721258
1000388114727124994,1148488808788160500
1000388114727124994,1107222936862154800
1000388114727124994,1263843205436436500
1000388114727124994,1159711189133340700
1000388114727124994,1274869338122551300
1000388114727124994,1246877513114177500
1000388114727124994,1275490656488616000
1000388114727124994,1223996149536706600
1000388114727124994,783521751137456100
1000388114727124994,3620121742
1000388114727124994,1128311416983818200
1000388114727124994,1247125393510813700
1000388114727124994,1545125726
1000388114727124994,1231217140109152300
1000388114727124994,1286595427102388200
1000388114727124994,1188688804686651400
1000388114727124994,2381807066
1000388114727124994,996655079649263600
1000388114727124994,992943155526828000
1000388114727124994,1280399007286616000
1000388114727124994,1196728295762452500
1000388114727124994,1280397770025660400
1000388114727124994,1266814914703659000
1000388114727124994,1110423331390382100
1000388114727124994,1272787030620110800
1000388114727124994,1285630741255086000
1000388114727124994,863695369611362300
1000388114727124994,743886936
1000388114727124994,1631773448
1000388114727124994,1274642163200974800
1000388114727124994,718460438309023700
1000388114727124994,920066951581401100
1000388114727124994,1193553098611904500
1000388114727124994,1272145605910048800
1000388114727124994,2308623362
1000388114727124994,790484665513627600
1000388114727124994,1263625039355797500
1000388114727124994,1281956718096916500
1000388114727124994,1230789093631631400
1000388114727124994,1116462005949538300
1000388114727124994,1247578780777906200
1000388114727124994,1260530209213886500
1000388114727124994,1280168649567789000
1000388114727124994,1022946453990334500
1000388114727124994,1213531885
1000388114727124994,926656788606238700
1000388114727124994,3225604351
1000388114727124994,1275916710957191200
1000388114727124994,1215820429547405300
1000388114727124994,978611194562056200
1000388114727124994,1067799848789917700
1000388114727124994,1276716845572096000
1000388114727124994,1254747125478391800
1000388114727124994,1251758479296966700
1000388114727124994,1105968127676956700
1000388114727124994,1111522742312951800
1000388114727124994,3734304680
1000388114727124994,784764547395489800
1000388114727124994,1010606529916035100
1000388114727124994,723371909182705700
1000388114727124994,1125751279689449500
1000388114727124994,1018778412284956700
1000388114727124994,1038409927734255600
1000388114727124994,1222485968923414500
1000388114727124994,1221529236843839500
1000388114727124994,1152991865928654800
1000388114727124994,260717931
1000388114727124994,1283065019933110300
1000388114727124994,1228434643248197600
1000388114727124994,1186533174286807000
1000388114727124994,1250678997014458400
1000388114727124994,1233777444600942600
1000388114727124994,1887035834
1000388114727124994,1163097068497440800
1000388114727124994,1270574036968509400
1000388114727124994,1104863933846966300
1000388114727124994,1161778233706029000
1000388114727124994,2672505827
1000388114727124994,3327780178
1000388114727124994,1282328458039718000
1000388114727124994,1178667932550754300
1000388114727124994,1138020069118578700
1000388114727124994,1280354520875192300
1000388114727124994,1276519788680867800
1000388114727124994,1271843601673187300
1000388114727124994,1019032424896843800
1000388114727124994,1261355407122903000
1000388114727124994,1014863613717303300
1000388114727124994,1245409603505934300
1000388114727124994,1281342985368567800
1000388114727124994,1281318430658961400
1000388114727124994,992715806080286700
1000388114727124994,1204947256287342600
1000388114727124994,1058356060413546500
1000388114727124994,2329213440
1000388114727124994,871756850513031200
1000388114727124994,760182534
1000388114727124994,1165049159755321300
1000388114727124994,1130468819242061800
1000388114727124994,1113304588705202200
1000388114727124994,1280552255180230700
1000388114727124994,4656282557
1000388114727124994,717322545125412900
1000388114727124994,2531875005
1000388114727124994,1011572978579099600
1000388114727124994,1234523407095652400
1000388114727124994,1223613325151367200
1000388114727124994,1049350969115467800
1000388114727124994,1280528706134519800
1000388114727124994,1731355855
1000388114727124994,845110157189136400
1000388114727124994,1223136084697043000
1000388114727124994,1068818531062444000
1000388114727124994,1247917754671345700
1000388114727124994,1249863417281667000
1000388114727124994,1151115601320075300
1000388114727124994,1150950955191398400
