Id,Label,timeset,modularity_class,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality,nodecolor-multimode,Authority,Hub
756489596192509952,756489596192509952,,3,0,2155,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1343398638,1343398638,,10,0,2204,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000005
1086370253968474112,1086370253968474112,,3,0,2154,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1109736942172811264,1109736942172811264,,3,0,2153,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
153011175,153011175,,0,0,2206,0,2,2,0,2,2,1,1,1,0,0,0,blue,0,0.000008
936470025912946688,936470025912946688,,16,0,340,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
1183433501506506754,1183433501506506754,,3,0,2152,1,0,1,2,0,2,0,0,0,0,0,0.031882,blue,0.0242,0
874276196791443457,874276196791443457,,3,0,2151,6,0,6,6,0,6,0,0,0,0,0,0.103039,blue,0.025773,0
2997139195,2997139195,,0,0,2150,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.024273,0
1065999382343008256,1065999382343008256,,3,0,2149,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
2296350137,2296350137,,3,0,2148,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1025863839072436224,1025863839072436224,,16,0,2147,2,0,2,2,0,2,0,0,0,0,0,0.063765,blue,0.02429,0
194429678,194429678,,3,0,2146,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
1109189371431997441,1109189371431997441,,10,0,2207,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000005
1037560707913412609,1037560707913412609,,3,0,2145,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
953041659138228224,953041659138228224,,3,0,2192,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.000985,0
419997901,419997901,,10,0,2208,0,2,2,0,2,2,1,1,1,0,0,0,red,0,0.000011
503836749,503836749,,10,0,173,7,0,7,7,0,7,0,0,0,0,0.047619,0.367537,blue,0.000358,0
141437341,141437341,,3,0,418,3,1,4,3,1,4,1,1,1,6,0,0.098042,blue,0.024386,0.000027
904200430212837377,904200430212837377,,10,0,2209,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000005
1128134859979837441,1128134859979837441,,3,0,2144,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
154491213,154491213,,16,0,366,3,0,3,3,0,3,0,0,0,0,0,0.029455,blue,0.000206,0
1248155002729836544,1248155002729836544,,10,0,171,7,0,7,7,0,7,0,0,0,0,0,0.279281,blue,0.024567,0
396803909,396803909,,16,0,339,2,0,2,2,0,2,0,0,0,0,0,0.088224,blue,0.000113,0
1241224214859956229,1241224214859956229,,10,0,2212,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,red,0,0.000002
1033570869472370689,1033570869472370689,,10,0,2211,4,1,5,4,1,5,1,1,1,5,0,0.061338,blue,0.000099,0.00001
1052661476807172096,1052661476807172096,,39,0,2225,0,13,13,0,13,13,2,0.933333,0.964286,0,0,0,blue,0,0.000035
2712793437,2712793437,,39,0,2224,4,0,4,4,0,4,0,0,0,0,0,0.085797,blue,0.000166,0
859084473379454979,859084473379454979,,10,0,293,1,0,1,1,0,1,0,0,0,0,0,0.198306,red,0.000191,0
970669429376929792,970669429376929792,,10,0,15,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.000106,0
310313976,310313976,,10,0,190,1,0,1,2,0,2,0,0,0,0,0,0.120139,blue,0.000084,0
1172909239238569990,1172909239238569990,,3,0,404,4,0,4,4,0,4,0,0,0,0,0.083333,0.129925,blue,0.000215,0
1127189576328417280,1127189576328417280,,10,0,189,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
914106607641825280,914106607641825280,,3,0,2143,2,0,2,3,0,3,0,0,0,0,0,0.041701,blue,0.024215,0
1197362131391467521,1197362131391467521,,3,0,2191,2,1,3,2,1,3,1,1,1,4,0,0.063765,blue,0.000097,0.000006
836951644948549634,836951644948549634,,10,0,416,7,0,7,7,0,7,0,0,0,0,0,0.137316,blue,0.024469,0
1173450389452050433,1173450389452050433,,16,0,338,3,0,3,3,0,3,0,0,0,0,0,0.095647,blue,0.000048,0
1070727373417369600,1070727373417369600,,3,0,2142,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
4627152734,4627152734,,3,0,2141,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
