Source, Target, Date Start
993883983451774978, 179760639,07-06-20 23:57:52
1146555342286938122, 1126231459742638081,07-06-20 23:57:52
1070126918404517888, 1617704312,07-06-20 23:57:51
1070126918404517888, 1072800328087556096,07-06-20 23:57:51
972611390757310464, 933052262368374784,07-06-20 23:57:50
1085237795231215617, 1180526739782373376,07-06-20 23:57:50
18125047, 1000754616009572352,07-06-20 23:57:50
1120170803750825985, 994891329825107970,07-06-20 23:57:50
329221989, 962134568605241344,07-06-20 23:57:50
862145729472716801, 859236927245078530,07-06-20 23:57:49
1146555342286938122, 1052584776945692673,07-06-20 23:57:49
1228903054872702978, 1069665522,07-06-20 23:57:49
1146555342286938122, 976476762052980736,07-06-20 23:57:49
978420703748767744, 962363527322329088,07-06-20 23:57:48
832449845461925888, 1244647749590691841,07-06-20 23:57:48
15825051, 286553778,07-06-20 23:57:48
1041034278, 57555916,07-06-20 23:57:48
1146555342286938122, 1176183565014446081,07-06-20 23:57:48
107072215, 924634443456933889,07-06-20 23:57:46
1146555342286938122, 1071218599698751488,07-06-20 23:57:46
1070126918404517888, 953469889653723137,07-06-20 23:57:46
18125047, 1134876491529900032,07-06-20 23:57:45
850935033766522880, 830740897750990849,07-06-20 23:57:45
19923638, 991387727190020096,07-06-20 23:57:45
21212532, 1254749993501671424,07-06-20 23:57:44
1146555342286938122, 1052044470512947201,07-06-20 23:57:44
107072215, 920911476105158656,07-06-20 23:57:44
15825051, 1205992081476354048,07-06-20 23:57:44
832449845461925888, 274184571,07-06-20 23:57:44
1146555342286938122, 1648977517,07-06-20 23:57:43
15825051, 1671634789,07-06-20 23:57:43
18125047, 2680407954,07-06-20 23:57:42
1146555342286938122, 861796252429766656,07-06-20 23:57:41
15825051, 947074773103890433,07-06-20 23:57:40
19538986, 1036725368718327808,07-06-20 23:57:40
954887105347452929, 857417276634447872,07-06-20 23:57:40
222680234, 1189415719932444672,07-06-20 23:57:39
954887105347452929, 1237403238896287744,07-06-20 23:57:39
954887105347452929, 886422023500697600,07-06-20 23:57:39
1205632938596978688, 1029657457683914752,07-06-20 23:57:39
1146555342286938122, 1267579187595890688,07-06-20 23:57:39
1070126918404517888, 3099141331,07-06-20 23:57:39
1146555342286938122, 3349630545,07-06-20 23:57:38
972611390757310464, 1563956796,07-06-20 23:57:38
972611390757310464, 945491910378090496,07-06-20 23:57:38
2857242694, 2857077123,07-06-20 23:57:37
446736941, 740788977129672709,07-06-20 23:57:37
1161236453591924736, 1230717393892102151,07-06-20 23:57:36
15825051, 4338209538,07-06-20 23:57:36
1146555342286938122, 1204311694115106821,07-06-20 23:57:35
1146555342286938122, 2488276814,07-06-20 23:57:35
335489061, 1204498637922942977,07-06-20 23:57:35
1146555342286938122, 1079976647112052736,07-06-20 23:57:34
1146555342286938122, 1120143116961345537,07-06-20 23:57:34
1146555342286938122, 4706532793,07-06-20 23:57:34
1070126918404517888, 982804814936633344,07-06-20 23:57:34
1146555342286938122, 847164734109560832,07-06-20 23:57:33
1146555342286938122, 2715896023,07-06-20 23:57:32
15825051, 775247702648958976,07-06-20 23:57:32
1146555342286938122, 94660816,07-06-20 23:57:32
1070126918404517888, 1223049382393794560,07-06-20 23:57:32
1041034278, 969550714044215297,07-06-20 23:57:31
1146555342286938122, 908758810658930688,07-06-20 23:57:31
1041034278, 1514514332,07-06-20 23:57:31
19538986, 280522899,07-06-20 23:57:31
286553778, 1137178757633126401,07-06-20 23:57:30
1146555342286938122, 1075557294123827200,07-06-20 23:57:29
446736941, 979972000872529920,07-06-20 23:57:29
2729784259, 933052262368374784,07-06-20 23:57:28
19538986, 1156049417780244480,07-06-20 23:57:27
1041034278, 848849140842848256,07-06-20 23:57:26
107072215, 1001355010217840640,07-06-20 23:57:26
1146555342286938122, 1248952025632534529,07-06-20 23:57:25
899126781936054272, 1098310541209206784,07-06-20 23:57:25
